Date,Ticker,Headline,Sentiment_Score,Sentiment_Label,Source
22-01-2026,BTC,"US Treasurys face a $1.7 trillion EU “dump” over Greenland, forcing shift to Bitcoin if dollar safety vanishes",0.4215,Positive,CryptoSlate
22-01-2026,BTC,"Ripple’s RLUSD just got Binance’s strongest growth lever, can that catapult it into a top 3 asset?",0.8316,Positive,CryptoSlate
22-01-2026,BTC,Bitcoin is in the blast radius after Japan’s bond market hit a terrifying 30-year breaking point,-0.5719,Negative,CryptoSlate
22-01-2026,BTC,Bitcoin is now your only lifeboat as Canada says the current world order is merely a “pleasant fiction”,0,Neutral,CryptoSlate
22-01-2026,ETH,How an industrial-scale scam is driving Ethereum transactions to record highs because of cheap gas fees,-0.5719,Negative,CryptoSlate
22-01-2026,BTC,Bitcoin just erased all 2026 gains as a $1.5 billion liquidation trap catches every trader off guard,0.0258,Neutral,CryptoSlate
22-01-2026,STBL,"One country is moving its economy “fully on-chain” with USDC, but the data reveals a massive hidden catch",0,Neutral,CryptoSlate
22-01-2026,ETH,"Ethereum is facing a brutal institutional “midlife crisis,” and the Foundation’s 35-point response reveals a shocking new reality",-0.7783,Negative,CryptoSlate
22-01-2026,STBL,Why Wall Street is overhauling stock dividends through tokenization powered by stablecoins,0,Neutral,CryptoSlate
22-01-2026,BTC,Michael Saylor just crossed 700k BTC but his “circular” Bitcoin funding loop risks a massive high-yield credit disaster,-0.7096,Negative,CryptoSlate
22-01-2026,BTC,"Worldwide people are quietly moving offline this January, and the biggest Bitcoin risk isn’t price volatility",-0.3818,Negative,CryptoSlate
22-01-2026,BTC,Bitcoin traders are dumping billions into insurance in case the price drops to $75k as June options expiry creates a high-stakes price trap,-0.3612,Negative,CryptoSlate
22-01-2026,BTC,While 71% are in profit XRP just triggered a rare signal last seen in 2022 that could paralyze rallies for months,0.4404,Positive,CryptoSlate
22-01-2026,BTC,Only one Bitcoin treasury is handling the brutal market shift that left Strategy investors totally exposed,-0.5984,Negative,CryptoSlate
22-01-2026,NYSC,"Stocks are ditching traditional banks to settle NYSE trades with tokenized cash, and the hidden risks are actually massive",-0.2732,Negative,CryptoSlate
22-01-2026,BTC,Natural gas surged 17% yesterday and it’s triggering a macro trap that could suddenly tank Bitcoin prices,0.0516,Positive,CryptoSlate
